id_entrega,id_pedido,data_entrega,status_entrega,endereco_entrega
106,7191,2022-06-15,Cancelado,"5316 Justin Summit Suite 275
Kaylaborough, OR 02795"
107,2623,2022-11-16,Em trânsito,"5330 Hall Garden
Dannyfurt, GU 76178"
108,5495,2024-06-21,Cancelado,"23137 Alexander Island
East Janicehaven, HI 09414"
109,4843,2022-06-09,Entregue,"0259 Derek Common Suite 870
Port Daleview, PW 08083"
110,3259,2022-10-12,Entregue,"07350 Emily Circles
Lake Derek, CT 52065"
111,6036,2022-02-05,Em trânsito,"8567 Thomas Fork Suite 770
Lesterfort, DE 49162"
112,9273,2022-09-16,Cancelado,"917 Taylor Camp
Zavalashire, OK 31868"
113,6710,2022-10-28,Entregue,"788 Miller Burgs Apt. 822
Mayport, AK 93980"
114,2962,2024-06-22,Em trânsito,"Unit 8185 Box 7636
DPO AA 43443"
115,4668,2022-12-11,Cancelado,"3128 Martin Pine Apt. 106
North Christopherburgh, WY 59060"
116,4244,2022-02-10,Cancelado,"905 Diana Tunnel Suite 209
Flowersmouth, SC 96824"
117,9664,2023-06-28,Entregue,"994 Jennifer Field Apt. 268
North Courtneyview, DE 58324"
118,7429,2024-07-25,Cancelado,"7159 Gary Squares
New Audreyborough, NH 67873"
119,1548,2022-07-02,Cancelado,"049 Heather Bypass
East Ashley, IN 04997"
120,4898,2023-06-16,Cancelado,"960 Garcia Throughway
North Monique, KY 60864"
121,5304,2024-11-22,Entregue,"1234 Catherine Mall
Coltonland, OH 56992"
122,1307,2022-04-19,Entregue,"94095 Angela Park Apt. 388
Latoyaland, NE 76990"
123,9878,2022-05-08,Entregue,"27169 Sandra Plaza
Samuelton, UT 68634"
124,8521,2022-06-01,Cancelado,"31513 Barr Radial
Meghanstad, NY 74661"
125,8325,2023-04-27,Entregue,"3060 Lee Courts Suite 765
Samuelstad, VA 22015"
126,4086,2023-11-06,Entregue,"402 Ronnie Drive Suite 317
Singhbury, IN 44213"
127,3398,2022-01-29,Cancelado,"64880 Turner Viaduct
Michelleshire, PA 84759"
128,8196,2023-10-03,Entregue,"USS Gonzalez
FPO AP 49486"
129,8909,2022-08-31,Em trânsito,"3252 Brandon Rue Suite 235
South Cindy, FM 14556"
130,414,2021-12-14,Entregue,"237 Kyle Underpass Apt. 913
East Lisa, NC 29602"
131,3692,2024-07-28,Cancelado,"USCGC Porter
FPO AE 38181"
132,211,2024-04-05,Em trânsito,"Unit 4889 Box 3897
DPO AA 03660"
133,1682,2024-07-28,Em trânsito,"115 Johnson Plains Apt. 292
Acostamouth, CO 65402"
134,2957,2023-02-26,Cancelado,"672 Elizabeth Heights
Albertmouth, WV 25765"
135,7747,2021-12-20,Cancelado,"Unit 4708 Box 6365
DPO AA 88211"
136,4721,2024-04-07,Cancelado,"5756 Brown Ridges
Brownfurt, ID 22275"
137,3810,2022-01-30,Cancelado,"634 Nancy Mission Suite 521
Owensmouth, PA 13178"
138,8682,2024-06-17,Entregue,"383 Kristen Expressway
East Kathleenborough, NE 70241"
139,217,2024-04-22,Cancelado,"59653 Scott River
Port Erin, KY 38002"
140,8868,2022-10-12,Cancelado,"669 Miller Lights Suite 272
New Robert, UT 47547"
141,1320,2024-07-17,Em trânsito,"7946 Sarah Turnpike Apt. 686
North Davidburgh, SC 40113"
142,8109,2022-12-23,Entregue,"USCGC Smith
FPO AE 37061"
143,898,2023-05-12,Entregue,"842 Beth Rest
Robinsonport, CA 33504"
144,7382,2023-08-16,Em trânsito,"93479 Zachary Trafficway
East Zacharyton, UT 66550"
145,1721,2023-01-04,Cancelado,"32707 Sandra Overpass Suite 787
Lake Mark, OK 93721"
146,4250,2022-11-07,Cancelado,"1926 Frost Shoal
South James, IN 27234"
147,2551,2024-07-07,Cancelado,"6817 Daniel Key
New Andrewburgh, LA 32281"
148,6748,2022-02-05,Em trânsito,"3000 Hamilton Common
East Vicki, AL 18072"
149,4697,2022-12-02,Cancelado,"88005 Reed Mills
Lake Jenniferville, UT 99352"
150,8620,2024-09-28,Cancelado,"75861 Moore Plains
Port Jennifer, ID 72483"
151,8568,2024-10-13,Cancelado,"6052 Williams Key Suite 628
Sarahville, WA 36164"
152,9106,2024-01-31,Em trânsito,"7066 Smith Viaduct Apt. 490
East Melvin, PA 13018"
153,2011,2024-08-18,Cancelado,"11053 Aaron Hills
Williamfort, PW 53884"
154,3628,2024-10-20,Cancelado,"5608 Tricia Views Apt. 181
Lake Joseph, SD 89209"
155,1194,2022-08-13,Em trânsito,"487 Thomas Lights
Alvaradohaven, LA 62004"
156,3120,2023-04-25,Em trânsito,"309 Jackson Estate Suite 212
Lake Herbert, VI 49309"
157,7708,2022-11-17,Cancelado,"57409 Anna Lakes
South James, HI 39245"
158,2033,2022-06-22,Em trânsito,"00708 Jason Skyway Suite 674
Donovanhaven, WA 10227"
159,974,2023-11-01,Cancelado,"PSC 0697, Box 0991
APO AA 17817"
160,3419,2022-09-10,Cancelado,"6989 Elizabeth Ridges Suite 668
Robertton, GU 32365"
161,7398,2024-06-13,Em trânsito,"0926 Baker Dale Suite 913
Christinetown, PR 44894"
162,3872,2022-11-15,Cancelado,"2812 Saunders Lakes Suite 801
West Daniel, OR 38336"
163,6808,2021-12-04,Em trânsito,"74774 Kevin Centers Apt. 518
East Elizabeth, NV 06815"
164,9581,2022-09-22,Entregue,"01372 Sarah Park
South Brittney, IA 37037"
165,4350,2022-09-09,Em trânsito,"213 Phillip Mountains Suite 592
South David, WA 74985"
166,7074,2022-12-01,Entregue,"4411 Lisa Gateway Suite 857
Sanderston, MP 50609"
167,9412,2022-10-04,Entregue,"804 Alyssa Spurs Suite 820
Michaelmouth, AK 44839"
168,8657,2024-05-09,Cancelado,"432 Jessica Lake Suite 432
Derrickstad, ID 00609"
169,700,2023-01-26,Cancelado,"236 John Bridge
Port Michaelton, NE 08285"
170,2275,2023-07-30,Cancelado,"135 Dana Extensions Apt. 937
Port Sarah, CA 69339"
171,8431,2023-08-06,Cancelado,"USNS Cabrera
FPO AP 90417"
172,903,2024-11-14,Cancelado,"74192 Clark Run Suite 597
West Peterstad, AR 24884"
173,7307,2023-09-26,Cancelado,"98250 Raymond Valley Suite 038
New Alisonfurt, MO 75562"
174,1412,2023-07-08,Em trânsito,"PSC 7862, Box 6638
APO AA 96311"
175,435,2024-02-04,Cancelado,"4853 Joseph Pines Suite 019
New James, OK 50094"
176,3295,2023-11-11,Em trânsito,"01632 Smith Gardens
Rodneyfort, MD 97495"
177,3741,2022-11-17,Em trânsito,"321 Smith Mall
Adamsstad, MT 68624"
178,2641,2022-07-25,Entregue,"90537 Teresa Centers Suite 579
Willisbury, HI 67646"
179,5548,2022-04-08,Cancelado,"47938 Lee Inlet Suite 008
New William, MP 43629"
180,8114,2022-05-07,Em trânsito,"0406 Marcus Rue Suite 056
East Dana, UT 72654"
181,3445,2024-08-25,Entregue,"997 Doyle Well
Stacychester, MN 77795"
182,7268,2024-03-28,Em trânsito,"4367 Michael Circle
Kimhaven, WY 30078"
183,111,2024-01-05,Em trânsito,"25645 Silva Mall
West Kayla, ME 49202"
184,2051,2023-12-18,Entregue,"2838 Fred Ways Suite 515
Pamelafurt, NH 56121"
185,6332,2024-07-29,Entregue,"Unit 8995 Box 8793
DPO AE 17914"
186,5754,2023-11-23,Entregue,"3670 Lucas Inlet Apt. 842
East Deborah, NE 80536"
187,9475,2022-05-12,Em trânsito,"331 Cruz Prairie Apt. 715
New Mitchellborough, OR 56489"
188,8119,2023-04-24,Cancelado,"3975 Jesus Port Suite 993
Williamsburgh, IN 86119"
189,8380,2023-12-08,Entregue,"35947 Rodriguez Crescent
Lake Melissaberg, AR 21848"
190,154,2022-09-11,Entregue,"747 Jennifer Village Suite 770
Connieborough, MI 17447"
191,6156,2024-11-04,Em trânsito,"757 Angela Streets
East Josephland, MH 98729"
192,394,2022-05-13,Cancelado,"Unit 5172 Box 0512
DPO AP 89713"
193,8070,2022-01-12,Em trânsito,"422 Jones Route
Williamsmouth, PA 23630"
194,1843,2024-05-31,Entregue,"36663 Drew Dale Apt. 573
Oliviaside, PW 29529"
195,8948,2023-07-17,Entregue,"PSC 8216, Box 5150
APO AP 46607"
196,5221,2023-07-18,Cancelado,"765 Hayes Inlet Suite 395
Davidland, WI 17814"
197,6906,2023-07-16,Cancelado,"Unit 5647 Box 0507
DPO AA 67912"
198,4461,2023-08-29,Em trânsito,"1908 Johnson Way
New Christian, PW 98712"
199,6990,2023-01-05,Cancelado,"16952 Raymond Cove
Johnsonland, NE 05428"
200,6010,2024-02-07,Em trânsito,"3078 Goodwin Divide Suite 253
Kelseyborough, MI 57944"
201,3867,2022-05-03,Cancelado,"11190 Alejandra Point Apt. 743
South Jesus, KY 24043"
202,6523,2022-07-31,Cancelado,"3278 Anderson Centers
New Gloria, CO 22337"
203,5642,2022-07-13,Entregue,"515 Ashley Path Suite 471
Patriciaberg, GU 31665"
204,3252,2023-12-27,Em trânsito,"54820 William Glen
New Donna, TX 74599"
205,4423,2023-03-22,Cancelado,"0829 Palmer Park
Thorntonmouth, SC 52396"
206,6494,2024-04-11,Em trânsito,"98627 Mcintosh Trail
Rodneyview, VI 13562"
207,1028,2022-03-20,Entregue,"3218 Boyer Valleys
Port Diamondview, AS 68392"
208,9558,2023-06-21,Cancelado,"3822 Diana Way Suite 957
North Lauratown, PW 76291"
209,7819,2023-06-24,Entregue,"615 Shepard View Suite 584
Lake Angela, IL 38830"
210,3731,2022-03-30,Cancelado,"583 Philip Circle
New Lori, MN 62508"
211,169,2022-07-26,Em trânsito,"7301 Cantu Brooks
West Erika, FM 15594"
212,9134,2024-02-05,Cancelado,"8746 Kenneth Course Suite 566
Lake Jennifer, MT 26619"
213,2695,2023-04-12,Em trânsito,"109 King Mountain
Frosttown, CO 86022"
214,6670,2021-12-23,Entregue,"03859 Brown Throughway
South Danielleburgh, VT 75304"
215,6374,2022-03-22,Entregue,"USCGC Henderson
FPO AE 53161"
216,2368,2024-01-04,Cancelado,"861 Carl Rest Suite 602
Port Laurenbury, NH 15429"
217,751,2024-10-20,Cancelado,"186 Rose Route Apt. 143
Port Danielle, NE 19809"
218,6642,2024-03-03,Em trânsito,"92773 Tammy Ville
West Jameschester, AL 59516"
219,4616,2022-01-02,Cancelado,"34296 Michael Parkways
Richardshire, KS 20334"
220,4357,2022-06-23,Em trânsito,"Unit 3132 Box 0906
DPO AP 81426"
221,2522,2023-01-16,Entregue,"546 George Well Suite 842
North Jessica, MT 47574"
222,6430,2024-01-25,Entregue,"760 Rogers Squares Apt. 577
Dianehaven, MD 78388"
223,8311,2023-04-10,Entregue,"4499 Moore Views
Dwaynefort, MD 07394"
224,8771,2023-06-24,Em trânsito,"349 Steven Turnpike
Port Alexis, NM 26964"
225,9490,2023-06-26,Cancelado,"7807 Ashley Avenue Apt. 635
East Heidi, NH 72451"
226,4172,2023-04-11,Entregue,"0556 Erik Skyway
Jenniferfort, ND 05618"
227,7070,2023-06-22,Em trânsito,"133 Kimberly Walks Suite 931
Carrollstad, NY 54014"
228,2030,2023-01-21,Em trânsito,"PSC 9916, Box 4093
APO AP 95038"
229,6268,2024-08-06,Em trânsito,"096 Brady Key
Isaacberg, GU 10690"
230,5635,2024-05-16,Cancelado,"444 Julie Lake Apt. 768
Kimberlyview, AK 66584"
231,1917,2024-08-04,Cancelado,"81825 Cynthia Turnpike
East Matthewton, IN 22816"
232,2926,2022-10-09,Entregue,"4460 April Path
Gardnerhaven, FM 35637"
233,8872,2023-01-09,Entregue,"882 Anderson Manor
New Ashleyberg, OK 74467"
234,7204,2022-01-03,Em trânsito,"793 Rios Light Suite 032
East Richardport, HI 34564"
235,6163,2022-01-16,Em trânsito,"504 Little Gardens
Joshuabury, KS 29269"
236,5233,2022-01-07,Em trânsito,"2487 Wilcox Point
South Tiffanyside, MD 11401"
237,8857,2022-03-31,Cancelado,"250 Chambers Route Apt. 011
Emilyshire, DE 63960"
238,6737,2022-11-25,Entregue,"USCGC Hill
FPO AA 53281"
239,9716,2022-05-05,Entregue,"842 Wise Walks Apt. 528
West James, MH 51900"
240,3314,2022-10-26,Em trânsito,"519 William Common
East Brandimouth, NC 81286"
241,2853,2024-09-25,Em trânsito,"667 Lisa Walks Suite 726
East Summerstad, MA 63076"
242,6221,2022-04-27,Em trânsito,"5221 Monica Drives Apt. 852
New Ana, NV 23144"
243,3211,2022-12-21,Em trânsito,"98569 Munoz Route
West Tanya, GU 54434"
244,9629,2022-09-23,Cancelado,"23244 John Pine Suite 342
Bakermouth, OK 59864"
245,3810,2023-10-22,Em trânsito,"0467 Cooley Ways
West Brandon, KY 09951"
246,5705,2024-09-15,Entregue,"134 Nichols Points Suite 778
Blackburgh, MA 71360"
247,4007,2022-03-08,Entregue,"435 Adam Plain Suite 227
Woodmouth, MP 69161"
248,8790,2022-08-15,Em trânsito,"372 Hammond Underpass Apt. 505
New Andrew, DC 37830"
249,3637,2023-12-31,Cancelado,"81809 Norman Shore Suite 947
South Mark, FM 51862"
250,762,2024-05-04,Em trânsito,"1143 Hanson Valleys
Hendersonside, CO 93891"
251,8488,2023-10-13,Entregue,"87465 Ramirez Branch Suite 089
South Donnafurt, PW 29738"
252,7237,2023-02-06,Entregue,"85318 Nicholas Mission Suite 651
Joshuabury, DC 74841"
253,2803,2023-05-31,Entregue,"58957 Brown Road
Shepardhaven, OK 97064"
254,353,2023-07-14,Cancelado,"7475 Andrea Knoll Apt. 577
Brewershire, PW 63927"
255,8873,2022-01-29,Em trânsito,"06330 Amy Club Suite 020
West Jennifer, AK 62115"
256,7315,2023-04-18,Entregue,"016 Blankenship Green Suite 248
North Territon, GA 46820"
257,6571,2023-07-12,Em trânsito,"1153 Yang Station Suite 327
West Bobby, HI 71015"
258,6523,2022-11-09,Entregue,"78842 Vasquez Forges Suite 771
West Frederick, VI 30061"
259,6150,2023-09-28,Entregue,"70954 Wood Place
Michaelmouth, GA 32975"
260,8043,2024-09-10,Cancelado,"575 Taylor Plain
Hillberg, NJ 08777"
261,1255,2023-04-14,Entregue,"43305 Riley Crossing
Smithburgh, RI 91458"
262,9407,2023-01-31,Entregue,"554 Sanders Extension Apt. 071
Lake Michaelport, LA 54310"
263,9227,2022-12-18,Entregue,"68730 Jackson Keys
Owensview, WA 91971"
264,1197,2023-02-05,Cancelado,"85668 Rodney Rue
Lake Victor, CT 88529"
265,609,2022-05-20,Entregue,"6378 Thomas Run Apt. 818
North Anthony, FL 39876"
266,784,2023-08-20,Cancelado,"283 Vega Forge
Amandatown, OH 28960"
267,5240,2022-09-10,Cancelado,"3187 Thomas Bypass Suite 566
Crystalhaven, OH 06713"
268,2833,2022-03-06,Entregue,"0434 Smith Brooks Apt. 243
South Autumnchester, PR 11228"
269,4846,2023-03-01,Entregue,"6251 Thomas Park Apt. 451
Lisabury, DE 63026"
270,1762,2023-06-08,Entregue,"0282 Russell Crescent
Pettyview, PR 22904"
271,7065,2022-08-23,Cancelado,"2125 Michael Hollow Suite 342
Marychester, NJ 81898"
272,6932,2024-09-05,Em trânsito,"920 Stephens Pass Suite 159
West Andrea, CA 34811"
273,4770,2024-01-07,Em trânsito,"4316 Thompson Fields Apt. 862
Shortport, MO 62607"
274,5128,2024-04-08,Entregue,"10627 Ashley Grove
Lake Bryanville, OK 20787"
275,4914,2024-03-13,Em trânsito,"99463 Cobb Creek Apt. 004
South Dawn, MP 28519"
276,4965,2022-07-04,Cancelado,"49246 Timothy Mountains Apt. 146
Laurenville, MP 26388"
277,2894,2023-04-02,Em trânsito,"667 Patricia Locks
Aaronfurt, MD 78795"
278,9081,2023-05-14,Em trânsito,"967 Weber Neck Suite 152
West Ronaldfurt, MA 98947"
279,1339,2024-09-01,Entregue,"468 Corey Haven
New Johnbury, MO 63494"
280,6314,2023-09-06,Em trânsito,"2842 Griffin Rue
North Danielmouth, NJ 82696"
281,7258,2022-05-31,Em trânsito,"80633 Hodges Skyway Apt. 477
New Jessica, IN 44571"
282,97,2024-07-08,Entregue,"5683 Watson Harbors Suite 686
South Brianbury, KY 49964"
283,8824,2022-10-12,Em trânsito,"7808 Kimberly Flat
Danielport, NJ 73173"
284,8698,2024-06-18,Cancelado,"Unit 0950 Box 8179
DPO AP 63505"
285,8519,2022-10-16,Em trânsito,"PSC 7017, Box 7714
APO AA 98388"
286,5162,2023-04-04,Cancelado,"887 Douglas Springs Apt. 300
North George, AK 75839"
287,1483,2024-11-12,Entregue,"37196 Gutierrez Stravenue
Smithbury, GU 92438"
288,8969,2024-09-08,Cancelado,"USNV Jackson
FPO AE 11509"
289,1359,2022-12-07,Em trânsito,"686 Rachel Ports Apt. 612
Garciachester, CT 22837"
290,1464,2022-01-25,Cancelado,"184 Lynch Parkways Suite 434
Darrellberg, RI 60983"
291,8938,2023-06-10,Em trânsito,"80466 Brian Gardens
East Travis, DE 02682"
292,7808,2022-11-13,Entregue,"8631 Christian Row
East Alexis, MI 15908"
293,8694,2022-01-13,Cancelado,"57040 John Stravenue Apt. 849
Joannside, VT 96832"
294,291,2023-10-08,Entregue,"895 David Overpass
Brownmouth, VI 54735"
295,4379,2024-07-30,Cancelado,"159 Maldonado Ridge Apt. 332
North Jasonhaven, WV 16190"
296,2556,2023-09-28,Entregue,"0309 Lynch Unions Apt. 060
New Alexburgh, MO 77280"
297,5334,2024-08-29,Cancelado,"096 Weiss Rue Apt. 949
East Christian, VI 40257"
298,5409,2023-06-16,Cancelado,"58420 Donald Corner Suite 124
Christinebury, PA 92889"
299,6177,2022-07-28,Em trânsito,"60588 Barrett Ways
Evansfurt, WI 75510"
300,4552,2024-11-25,Entregue,"PSC 7858, Box 6384
APO AE 38910"
301,5057,2023-11-27,Em trânsito,"74144 Michael Underpass
Julieland, ME 65296"
302,2970,2023-03-12,Cancelado,"69960 Summers Well Suite 013
West Jessica, OR 69889"
303,1339,2022-02-20,Em trânsito,"1813 Nicholas Hollow Suite 561
West Danielview, OH 30498"
304,6572,2024-04-17,Entregue,"76683 Christopher Corners
Susanburgh, MD 06248"
305,7305,2022-09-12,Cancelado,"222 Ronald Fields Suite 783
Swansonshire, OH 81090"
306,2404,2022-03-15,Cancelado,"38044 Michelle Mill Suite 626
New Morgan, NJ 75057"
